iter	Passed	Remaining
401	14833	7305
402	14866	7267
403	14909	7233
404	14952	7199
405	14991	7163
406	15029	7127
407	15066	7090
408	15103	7053
409	15137	7014
410	15168	6975
411	15201	6936
412	15232	6896
413	15262	6857
414	15295	6818
415	15327	6779
416	15358	6739
417	15391	6701
418	15424	6662
419	15455	6623
420	15487	6584
421	15519	6545
422	15552	6507
423	15588	6470
424	15624	6433
425	15660	6396
426	15693	6358
427	15727	6320
428	15761	6282
429	15793	6244
430	15826	6205
431	15857	6166
432	15890	6128
433	15922	6090
434	15957	6052
435	15993	6015
436	16030	5979
437	16065	5942
438	16102	5905
439	16137	5868
440	16174	5831
441	16208	5794
442	16251	5759
443	16292	5724
444	16334	5689
445	16371	5652
446	16407	5616
447	16442	5578
448	16479	5541
449	16555	5518
450	16613	5488
451	16655	5453
452	16697	5418
453	16737	5382
454	16776	5346
455	16815	5310
456	16855	5274
457	16896	5238
458	16934	5202
459	16971	5165
460	17008	5128
461	17046	5091
462	17081	5054
463	17117	5017
464	17154	4980
465	17191	4943
466	17238	4909
467	17277	4873
468	17320	4837
469	17356	4800
470	17393	4763
471	17430	4726
472	17465	4689
473	17501	4652
474	17536	4614
475	17572	4577
476	17607	4540
477	17644	4503
478	17678	4465
479	17715	4428
480	17749	4391
481	17786	4354
482	17822	4317
483	17858	4280
484	17914	4247
485	17957	4212
486	17996	4175
487	18033	4138
488	18067	4101
489	18102	4063
490	18138	4026
491	18174	3989
492	18210	3952
493	18244	3914
494	18276	3876
495	18307	3838
496	18340	3800
497	18371	3762
498	18403	3725
499	18438	3687
500	18473	3650
501	18506	3612
502	18540	3575
503	18576	3538
504	18610	3500
505	18650	3464
506	18685	3427
507	18718	3389
508	18753	3352
509	18789	3315
510	18825	3278
511	18859	3241
512	18891	3203
513	18926	3166
514	18958	3129
515	18992	3091
516	19025	3054
517	19058	3016
518	19092	2979
519	19126	2942
520	19159	2905
521	19194	2868
522	19229	2831
523	19263	2793
524	19299	2757
525	19334	2720
526	19368	2682
527	19401	2645
528	19436	2608
529	19478	2572
530	19522	2536
531	19563	2500
532	19609	2464
533	19652	2428
534	19695	2392
535	19743	2357
536	19787	2321
537	19825	2284
538	19866	2248
539	19909	2212
540	19951	2175
541	19992	2139
542	20030	2102
543	20068	2065
544	20112	2029
545	20219	1999
546	20314	1968
547	20436	1939
548	20501	1904
549	20554	1868
550	20617	1833
551	20684	1798
552	20721	1761
553	20762	1723
554	20800	1686
555	20839	1649
556	20875	1611
557	20911	1573
558	20946	1536
559	20983	1498
560	21023	1461
561	21059	1423
562	21096	1386
563	21132	1348
564	21171	1311
565	21207	1273
566	21245	1236
567	21282	1199
568	21324	1161
569	21369	1124
570	21411	1087
571	21450	1050
572	21493	1012
573	21534	975
574	21591	938
575	21625	901
576	21659	863
577	21694	825
578	21729	788
579	21763	750
580	21798	712
581	21833	675
