iter	Logloss
0	0.657036801
1	0.6223486043
2	0.5909236269
3	0.5630220089
4	0.5380224295
5	0.5150435457
6	0.4940080489
7	0.4742599254
8	0.4567153397
9	0.4409984779
10	0.4269000806
11	0.4128672754
12	0.400911196
13	0.3898662174
14	0.3794317436
15	0.3697428072
16	0.3609055602
17	0.3530375283
18	0.3455555014
19	0.3392754014
20	0.3334169911
21	0.327930242
22	0.322757571
23	0.3180053201
24	0.3135837639
25	0.3095294609
26	0.305957023
27	0.3024797098
28	0.2992901094
29	0.2963202312
30	0.2936322613
31	0.2911791318
32	0.288788859
33	0.2866716443
34	0.284641269
35	0.2827038283
36	0.2810144427
37	0.279393877
38	0.2779411557
39	0.2765438332
40	0.2752478242
41	0.2740598494
42	0.2729202464
43	0.2718093817
44	0.2708405902
45	0.2698898411
46	0.269038448
47	0.2681883046
48	0.2674266087
49	0.2667622244
50	0.2661656512
51	0.2655078187
52	0.2648820563
53	0.2643364799
54	0.2638583981
55	0.2634013178
56	0.2629208596
57	0.2625083883
58	0.2621446958
59	0.2618182275
60	0.261437881
61	0.2611662098
62	0.2608997524
63	0.2606225743
64	0.2603576101
65	0.2600264572
66	0.2597615339
67	0.2595080052
68	0.2592874849
69	0.2590889126
70	0.2588854222
71	0.2586734843
72	0.2584864245
73	0.2583255073
74	0.2581530787
75	0.2579748422
76	0.257814963
77	0.2576883421
78	0.2575256597
79	0.2573880192
80	0.2572751561
81	0.2571302635
82	0.257047705
83	0.2569258156
84	0.256827133
85	0.2567334575
86	0.256643033
87	0.2565614118
88	0.2564872932
89	0.2564030934
90	0.2563241983
91	0.2562451192
92	0.2561679684
93	0.2561093133
94	0.256040312
95	0.2559909471
96	0.2559255292
97	0.2558620278
98	0.2557968785
99	0.2557464086
100	0.2556924471
101	0.2556480588
102	0.2555961438
103	0.255533934
104	0.2554848942
105	0.255439081
106	0.2553791556
107	0.2553393376
108	0.2553028252
109	0.25526065
110	0.2552170692
111	0.2551888742
112	0.2551531037
113	0.2551203536
114	0.2550798655
115	0.2550457321
116	0.2550145339
117	0.2549856067
118	0.254948997
119	0.25492084
120	0.2548874374
121	0.2548429944
122	0.2547994266
123	0.2547744762
124	0.2547332442
125	0.254686198
126	0.2546625427
127	0.2546372322
128	0.2546122415
129	0.2545904653
130	0.2545545149
131	0.2545279345
132	0.2544897712
133	0.2544708938
134	0.2544488993
135	0.2544270714
136	0.2544036882
137	0.2543779844
138	0.2543621554
139	0.2543363137
140	0.2543182753
141	0.2542934462
142	0.2542643387
143	0.2542486976
144	0.2542343679
145	0.2542092369
146	0.2541896284
147	0.2541682604
148	0.2541513284
149	0.2541328767
150	0.2541124601
151	0.2540912062
152	0.2540736104
153	0.254052577
154	0.25403263
155	0.2540133102
156	0.2539934234
157	0.2539780161
158	0.2539606009
159	0.2539434
160	0.2539220931
161	0.2538934111
162	0.2538745509
163	0.2538594999
164	0.253851111
165	0.253836943
166	0.2538236044
167	0.2538060605
168	0.2537810353
169	0.2537621061
170	0.2537406055
171	0.2537207451
172	0.2537040056
173	0.2536860287
174	0.2536695848
175	0.2536578323
176	0.2536355693
177	0.2536199094
178	0.2536009645
179	0.2535852755
180	0.253565932
181	0.2535514589
182	0.253538911
183	0.2535288584
184	0.2535159648
185	0.2534977515
186	0.2534768402
187	0.2534599357
188	0.2534438445
189	0.2534274427
190	0.2534094044
191	0.253392066
192	0.2533794593
193	0.2533658325
194	0.2533470279
195	0.2533225656
196	0.2533095454
197	0.2532917319
198	0.253276922
199	0.2532693626
200	0.2532516553
201	0.2532388204
202	0.2532253673
203	0.2532159982
204	0.2532048192
205	0.2531926553
206	0.2531796768
207	0.2531680753
208	0.2531556652
209	0.2531414666
210	0.253117755
211	0.2531060252
212	0.2530921367
213	0.2530808892
214	0.2530678527
215	0.2530526078
216	0.2530388965
217	0.2530270853
218	0.2530138537
219	0.2530013988
220	0.2529917738
221	0.252978527
222	0.252969234
223	0.252961027
224	0.2529450276
225	0.2529318478
226	0.252915747
227	0.2529047456
228	0.2528896621
229	0.252874372
